# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
339974.0000 M29 1000000 1 310974.0000 7 5 n/a N 7->5
339979.0000 M208 1000000 1 131979.0000 5 7 n/a N 5->7
339983.0000 M333 1000000 1 6983.0000 5 7 n/a N 5->7
340610.0000 M260 1000000 1 80610.0000 1 7 n/a N 1->7
340851.0000 M288 1000000 1 52851.0000 2 1 n/a N 2->1
340855.0000 M223 1000000 1 117855.0000 2 1 n/a N 2->1
340859.0000 M310 1000000 1 30859.0000 2 1 n/a N 2->1
340863.0000 M250 1000000 1 90863.0000 2 1 n/a N 2->1
340868.0000 M316 1000000 1 24868.0000 1 2 n/a N 1->2
340872.0000 M340 1000000 1 872.0000 1 2 n/a N 1->2
340876.0000 M318 1000000 1 22876.0000 1 2 n/a N 1->2
340880.0000 M339 1000000 1 1880.0000 1 2 n/a N 1->2
341992.0000 M270 1000000 1 71992.0000 7 4 n/a N 7->4
343487.0000 M49 1000000 1 294487.0000 1 4 n/a N 1->4
343491.0000 M197 1000000 1 146491.0000 1 4 n/a N 1->4
343495.0000 M228 1000000 1 115495.0000 1 4 n/a N 1->4
343499.0000 M111 1000000 1 232499.0000 1 4 n/a N 1->4
343503.0000 M267 1000000 1 76503.0000 1 4 n/a N 1->4
343507.0000 M107 1000000 1 236507.0000 1 4 n/a N 1->4
343511.0000 M39 1000000 1 304511.0000 1 4 n/a N 1->4
343515.0000 M231 1000000 1 112515.0000 1 4 n/a N 1->4
343519.0000 M213 1000000 1 130519.0000 1 4 n/a N 1->4
343524.0000 M211 1000000 1 132524.0000 4 1 n/a N 4->1
343528.0000 M32 1000000 1 311528.0000 4 1 n/a N 4->1
343532.0000 M261 1000000 1 82532.0000 4 1 n/a N 4->1
343536.0000 M148 1000000 1 195536.0000 4 1 n/a N 4->1
343540.0000 M70 1000000 1 273540.0000 4 1 n/a N 4->1
343544.0000 M90 1000000 1 253544.0000 4 1 n/a N 4->1
343548.0000 M55 1000000 1 288548.0000 4 1 n/a N 4->1
343552.0000 M299 1000000 1 44552.0000 4 1 n/a N 4->1
343556.0000 M108 1000000 1 235556.0000 4 1 n/a N 4->1
343560.0000 M94 1000000 1 249560.0000 4 1 n/a N 4->1
344080.0000 M177 1000000 1 167080.0000 5 1 n/a N 5->1
344084.0000 M115 1000000 1 229084.0000 5 1 n/a N 5->1
344088.0000 M241 1000000 1 103088.0000 5 1 n/a N 5->1
344092.0000 M219 1000000 1 125092.0000 5 1 n/a N 5->1
344096.0000 M281 1000000 1 63096.0000 5 1 n/a N 5->1
344101.0000 M255 1000000 1 89101.0000 1 5 n/a N 1->5
344105.0000 M298 1000000 1 46105.0000 1 5 n/a N 1->5
344136.0000 M114 1000000 1 230136.0000 7 4 n/a N 7->4
344140.0000 M126 1000000 1 218140.0000 7 4 n/a N 7->4
344144.0000 M314 1000000 1 30144.0000 7 4 n/a N 7->4
344148.0000 M262 1000000 1 82148.0000 7 4 n/a N 7->4
344152.0000 M297 1000000 1 47152.0000 7 4 n/a N 7->4
344156.0000 M188 1000000 1 156156.0000 7 4 n/a N 7->4
344161.0000 M98 1000000 1 246161.0000 4 7 n/a N 4->7
344165.0000 M67 1000000 1 277165.0000 4 7 n/a N 4->7
344169.0000 M325 1000000 1 19169.0000 4 7 n/a N 4->7
344173.0000 M271 1000000 1 73173.0000 4 7 n/a N 4->7
344177.0000 M201 1000000 1 143177.0000 4 7 n/a N 4->7
344181.0000 M80 1000000 1 264181.0000 4 7 n/a N 4->7
344185.0000 M183 1000000 1 161185.0000 4 7 n/a N 4->7
344189.0000 M17 1000000 1 327189.0000 4 7 n/a N 4->7
346440.0000 M120 1000000 1 226440.0000 1 0 n/a N 1->0
347421.0000 M341 1000000 1 6421.0000 1 0 n/a N 1->0
347425.0000 M144 1000000 1 203425.0000 1 0 n/a N 1->0
347430.0000 M222 1000000 1 125430.0000 0 1 n/a N 0->1
347434.0000 M282 1000000 1 65434.0000 0 1 n/a N 0->1
347438.0000 M234 1000000 1 113438.0000 0 1 n/a N 0->1
347442.0000 M338 1000000 1 9442.0000 0 1 n/a N 0->1
349302.0000 M349 1000000 1 302.0000 7 5 n/a N 7->5
350020.0000 M329 1000000 1 21020.0000 3 7 n/a N 3->7
350024.0000 M182 1000000 1 168024.0000 3 7 n/a N 3->7
350028.0000 M257 1000000 1 93028.0000 3 7 n/a N 3->7
350032.0000 M331 1000000 1 19032.0000 3 7 n/a N 3->7
350036.0000 M345 1000000 1 5036.0000 3 7 n/a N 3->7
350040.0000 M253 1000000 1 97040.0000 3 7 n/a N 3->7
350045.0000 M239 1000000 1 111045.0000 7 3 n/a N 7->3
350049.0000 M40 1000000 1 310049.0000 7 3 n/a N 7->3
350053.0000 M230 1000000 1 120053.0000 7 3 n/a N 7->3
350057.0000 M306 1000000 1 44057.0000 7 3 n/a N 7->3
350061.0000 M128 1000000 1 222061.0000 7 3 n/a N 7->3
351272.0000 M351 1000000 1 272.0000 0 1 n/a N 0->1
354825.0000 M347 1000000 1 7825.0000 4 7 n/a N 4->7
354892.0000 M336 1000000 1 18892.0000 1 3 n/a N 1->3
