# time  ID  size  fromHost  toHost  TTL  isResponse
259200.0000 M216 1000000 cambridge-Host27 cambridge-Host19 n/a N 
260400.0000 M217 1000000 cambridge-Host9 cambridge-Host0 n/a N 
261600.0000 M218 1000000 cambridge-Host4 cambridge-Host49 n/a N 
262800.0000 M219 1000000 cambridge-Host39 cambridge-Host24 n/a N 
264000.0000 M220 1000000 cambridge-Host6 cambridge-Host21 n/a N 
265200.0000 M221 1000000 cambridge-Host4 cambridge-Host12 n/a N 
266400.0000 M222 1000000 cambridge-Host46 cambridge-Host14 n/a N 
267600.0000 M223 1000000 cambridge-Host17 cambridge-Host41 n/a N 
268800.0000 M224 1000000 cambridge-Host45 cambridge-Host22 n/a N 
270000.0000 M225 1000000 cambridge-Host37 cambridge-Host32 n/a N 
271200.0000 M226 1000000 cambridge-Host26 cambridge-Host49 n/a N 
272400.0000 M227 1000000 cambridge-Host18 cambridge-Host50 n/a N 
273600.0000 M228 1000000 cambridge-Host15 cambridge-Host10 n/a N 
274800.0000 M229 1000000 cambridge-Host33 cambridge-Host28 n/a N 
276000.0000 M230 1000000 cambridge-Host41 cambridge-Host2 n/a N 
277200.0000 M231 1000000 cambridge-Host8 cambridge-Host39 n/a N 
278400.0000 M232 1000000 cambridge-Host36 cambridge-Host44 n/a N 
279600.0000 M233 1000000 cambridge-Host2 cambridge-Host15 n/a N 
280800.0000 M234 1000000 cambridge-Host22 cambridge-Host4 n/a N 
282000.0000 M235 1000000 cambridge-Host4 cambridge-Host50 n/a N 
283200.0000 M236 1000000 cambridge-Host18 cambridge-Host45 n/a N 
284400.0000 M237 1000000 cambridge-Host4 cambridge-Host36 n/a N 
285600.0000 M238 1000000 cambridge-Host48 cambridge-Host29 n/a N 
286800.0000 M239 1000000 cambridge-Host30 cambridge-Host22 n/a N 
288000.0000 M240 1000000 cambridge-Host28 cambridge-Host27 n/a N 
289200.0000 M241 1000000 cambridge-Host38 cambridge-Host40 n/a N 
290400.0000 M242 1000000 cambridge-Host32 cambridge-Host12 n/a N 
291600.0000 M243 1000000 cambridge-Host39 cambridge-Host33 n/a N 
292800.0000 M244 1000000 cambridge-Host33 cambridge-Host51 n/a N 
294000.0000 M245 1000000 cambridge-Host29 cambridge-Host39 n/a N 
295200.0000 M246 1000000 cambridge-Host44 cambridge-Host32 n/a N 
296400.0000 M247 1000000 cambridge-Host43 cambridge-Host7 n/a N 
297600.0000 M248 1000000 cambridge-Host25 cambridge-Host4 n/a N 
298800.0000 M249 1000000 cambridge-Host7 cambridge-Host26 n/a N 
300000.0000 M250 1000000 cambridge-Host21 cambridge-Host8 n/a N 
301200.0000 M251 1000000 cambridge-Host7 cambridge-Host49 n/a N 
302400.0000 M252 1000000 cambridge-Host26 cambridge-Host24 n/a N 
303600.0000 M253 1000000 cambridge-Host14 cambridge-Host7 n/a N 
304800.0000 M254 1000000 cambridge-Host8 cambridge-Host19 n/a N 
306000.0000 M255 1000000 cambridge-Host47 cambridge-Host50 n/a N 
307200.0000 M256 1000000 cambridge-Host1 cambridge-Host4 n/a N 
308400.0000 M257 1000000 cambridge-Host30 cambridge-Host38 n/a N 
309600.0000 M258 1000000 cambridge-Host24 cambridge-Host51 n/a N 
310800.0000 M259 1000000 cambridge-Host16 cambridge-Host10 n/a N 
312000.0000 M260 1000000 cambridge-Host50 cambridge-Host41 n/a N 
313200.0000 M261 1000000 cambridge-Host50 cambridge-Host28 n/a N 
314400.0000 M262 1000000 cambridge-Host10 cambridge-Host43 n/a N 
315600.0000 M263 1000000 cambridge-Host39 cambridge-Host51 n/a N 
316800.0000 M264 1000000 cambridge-Host11 cambridge-Host31 n/a N 
318000.0000 M265 1000000 cambridge-Host35 cambridge-Host19 n/a N 
319200.0000 M266 1000000 cambridge-Host49 cambridge-Host10 n/a N 
320400.0000 M267 1000000 cambridge-Host47 cambridge-Host10 n/a N 
321600.0000 M268 1000000 cambridge-Host20 cambridge-Host14 n/a N 
322800.0000 M269 1000000 cambridge-Host6 cambridge-Host34 n/a N 
