HOST   TimeON  ScanEnergy
95 20776.0 11333.307999999999
96 19215.0 10481.7825
97 38301.0 20893.195499999998
98 36301.0 19802.195499999998
99 31813.0 17353.9915
100 37128.0 20253.324
101 35404.0 19312.881999999998
102 36660.0 19998.03
103 39178.0 21371.599
104 32895.0 17944.2225
105 33138.0 18076.779
106 32720.0 17848.76
107 42952.0 23430.316
108 46509.0 25370.659499999998
109 39104.0 21331.232
110 39780.0 21699.989999999998
111 40002.0 21821.091
112 36873.0 20114.2215
113 17063.0 9307.8665
114 21887.0 11939.3585
115 19584.0 10683.072
116 21989.0 11994.9995
117 19297.0 10526.5135
118 11455.0 6248.702499999999
119 20338.0 11094.378999999999
120 20786.0 11338.762999999999
121 17216.0 9391.328
122 18257.0 9959.1935
123 15850.0 8646.175
124 20161.0 10997.825499999999
125 20288.0 11067.104
126 16892.0 9214.586
127 12413.0 6771.291499999999
128 20349.0 11100.3795
129 22295.0 12161.922499999999
130 18431.0 10054.110499999999
131 15872.0 8658.176
132 21410.0 11679.154999999999
133 22613.0 12335.3915
134 19388.0 10576.154
135 25459.0 13887.8845
136 20982.0 11445.681
137 19582.0 10681.981
138 22643.0 12351.7565
139 26651.0 14538.120499999999
140 16197.0 8835.4635
141 19298.0 10527.059
142 20145.0 10989.0975
143 28091.0 15323.6405
144 17716.0 9664.078
145 18574.0 10132.117
146 26631.0 14527.2105
147 22062.0 12034.821
148 20776.0 11333.307999999999
149 17789.0 9703.8995
150 18228.0 9943.374
151 18022.0 9831.001
152 19675.0 10732.7125
153 14983.0 8173.2265
154 17168.0 9365.144
155 15870.0 8657.085
156 19684.0 10737.622
157 20952.0 11429.315999999999
158 20962.0 11434.770999999999
159 22203.0 12111.736499999999
160 17432.0 9509.155999999999
161 18849.0 10282.1295
162 17829.0 9725.7195
163 20451.0 11156.0205
164 17393.0 9487.8815
165 16933.0 9236.9515
166 18614.0 10153.937
167 21101.0 11510.5955
168 21409.0 11678.6095
169 16779.0 9152.9445
170 21267.0 11601.1485
171 7764.0 4235.262
172 22418.0 12229.019
173 17311.0 9443.1505
174 18726.0 10215.033
175 15160.0 8269.78
176 10496.0 5725.568
177 21808.0 11896.264
178 21624.0 11795.892
179 22712.0 12389.395999999999
180 20665.0 11272.7575
181 13108.0 7150.414
182 20576.0 11224.208
183 19032.0 10381.956
184 39537.0 21567.4335
185 34017.0 18556.2735
186 38738.0 21131.578999999998
187 38740.0 21132.67
188 40760.0 22234.579999999998
189 38474.0 20987.567
190 39262.0 21417.421
191 40697.0 22200.213499999998
192 40962.0 22344.771
193 44481.0 24264.3855
194 44655.0 24359.302499999998
195 30680.0 16735.94
196 38556.0 21032.298
197 39512.0 21553.796
198 28775.0 15696.762499999999
199 39268.0 21420.694
200 36668.0 20002.394
201 41880.0 22845.54
202 40932.0 22328.406
203 38853.0 21194.3115
204 38543.0 21025.2065
205 37546.0 20481.343
206 39423.0 21505.2465
207 41555.0 22668.2525
208 37148.0 20264.234
209 43175.0 23551.962499999998
210 35637.0 19439.9835
211 39830.0 21727.265
212 41431.0 22600.6105
213 39229.0 21399.4195
214 44084.0 24047.822
215 41747.0 22772.9885
216 38546.0 21026.843
217 38556.0 21032.298
218 37629.0 20526.6195
219 31898.0 17400.359
220 31027.0 16925.2285
221 23478.0 12807.249
222 35250.0 19228.875
223 38456.0 20977.748
224 32437.0 17694.3835
225 44339.0 24186.9245
226 42095.0 22962.8225
227 30334.0 16547.197
228 26661.0 14543.575499999999
229 27498.0 15000.159
230 27497.0 14999.6135
231 25519.0 13920.6145
232 28398.0 15491.109
233 34404.0 18767.381999999998
234 24522.0 13376.751
235 23258.0 12687.239
236 34923.0 19050.4965
237 28160.0 15361.279999999999
238 34598.0 18873.209
239 27774.0 15150.716999999999
240 37771.0 20604.0805
241 37424.0 20414.791999999998
242 40747.0 22227.4885
243 41900.0 22856.45
244 38503.0 21003.3865
245 40779.0 22244.944499999998
246 40482.0 22082.931
247 29660.0 16179.529999999999
248 39747.0 21681.9885
249 44146.0 24081.643
250 45029.0 24563.319499999998
251 43432.0 23692.156
252 36373.0 19841.4715
253 38095.0 20780.8225
254 34395.0 18762.4725
255 40413.0 22045.2915
256 39873.0 21750.7215
257 41911.0 22862.4505
258 42032.0 22928.456
259 44156.0 24087.097999999998
260 38801.0 21165.945499999998
261 42260.0 23052.829999999998
262 43729.0 23854.1695
263 40604.0 22149.482
264 40108.0 21878.914
265 39188.0 21377.054
266 42890.0 23396.495
267 30424.0 16596.292
268 40973.0 22350.7715
269 44391.0 24215.2905
270 40054.0 21849.457
271 39851.0 21738.7205
272 23634.0 12892.347
273 33647.0 18354.4385
274 32822.0 17904.400999999998
275 33892.0 18488.086
276 30376.0 16570.108
277 25958.0 14160.089
278 28051.0 15301.8205
279 16474.0 8986.567
280 16883.0 9209.6765
281 20025.0 10923.637499999999
282 18148.0 9899.734
283 29744.0 16225.351999999999
284 29396.0 16035.518
285 27040.0 14750.32
286 30306.0 16531.923
287 26407.0 14405.0185
288 32915.0 17955.1325
289 27273.0 14877.4215
290 27715.0 15118.5325
291 28203.0 15384.736499999999
292 26762.0 14598.671
293 31529.0 17199.069499999998
294 18317.0 9991.923499999999
295 30966.0 16891.953
296 30477.0 16625.2035
297 28213.0 15390.191499999999
298 34997.0 19090.8635
299 24631.0 13436.2105
300 27324.0 14905.242
301 23593.0 12869.9815
302 23897.0 13035.8135
303 25510.0 13915.705
304 36637.0 19985.4835
305 24988.0 13630.954
306 23782.0 12973.081
307 26999.0 14727.9545
308 29631.0 16163.7105
309 29343.0 16006.6065
310 28224.0 15396.192
311 31070.0 16948.685
312 23145.0 12625.5975
313 31598.0 17236.709
314 30643.0 16715.7565
315 28050.0 15301.275
316 25855.0 14103.9025
317 37435.0 20420.7925
318 41778.0 22789.898999999998
319 31098.0 16963.959
320 32975.0 17987.8625
321 39290.0 21432.695
322 41516.0 22646.978
323 42065.0 22946.4575
324 39655.0 21631.802499999998
325 42687.0 23285.7585
326 39821.0 21722.355499999998
327 31456.0 17159.248
328 19113.0 10426.1415
329 16197.0 8835.4635
330 21175.0 11550.9625
331 18848.0 10281.583999999999
332 25846.0 14098.993
333 17288.0 9430.604
334 25828.0 14089.173999999999
335 21052.0 11483.866
336 20960.0 11433.68
337 17830.0 9726.265
338 17698.0 9654.259
339 21582.0 11772.981
340 21032.0 11472.956
341 21122.0 11522.051
342 20634.0 11255.847
343 20309.0 11078.5595
344 15605.0 8512.5275
345 22348.0 12190.833999999999
346 17616.0 9609.528
347 17411.0 9497.700499999999
348 39301.0 21438.695499999998
349 43413.0 23681.7915
350 42073.0 22950.8215
351 43575.0 23770.1625
352 32121.0 17522.0055
353 40247.0 21954.7385
354 33232.0 18128.056
355 41584.0 22684.072
356 35362.0 19289.970999999998
357 39566.0 21583.253
358 33536.0 18293.888
359 34037.0 18567.1835
360 41381.0 22573.3355
361 34466.0 18801.202999999998
362 17593.0 9596.9815
363 19135.0 10438.1425
364 20696.0 11289.668
365 16993.0 9269.6815
366 21438.0 11694.429
367 16606.0 9058.573
368 19187.0 10466.5085
369 18329.0 9998.4695
370 16717.0 9119.1235
371 18165.0 9909.0075
372 21265.0 11600.057499999999
373 23755.0 12958.352499999999
374 16483.0 8991.476499999999
375 15534.0 8473.797
376 20431.0 11145.110499999999
377 12485.0 6810.5675
378 19297.0 10526.5135
379 21910.0 11951.904999999999
380 21235.0 11583.6925
381 18432.0 10054.655999999999
382 16258.0 8868.739
383 14309.0 7805.559499999999
384 19531.0 10654.1605
385 21062.0 11489.321
386 40157.0 21905.6435
387 37712.0 20571.896
388 38587.0 21049.2085
389 42615.0 23246.4825
390 40014.0 21827.637
391 36708.0 20024.214
392 38382.0 20937.381
393 35984.0 19629.272
394 40329.0 21999.4695
395 33391.0 18214.7905
396 36718.0 20029.668999999998
397 41606.0 22696.073
398 31373.0 17113.9715
399 41045.0 22390.0475
400 32385.0 17666.017499999998
401 31190.0 17014.145
402 42379.0 23117.7445
403 34097.0 18599.9135
404 38352.0 20921.016
405 39870.0 21749.085
406 34069.0 18584.6395
407 39156.0 21359.597999999998
408 39503.0 21548.8865
409 38615.0 21064.4825
410 39238.0 21404.328999999998
411 33483.0 18264.9765
412 44076.0 24043.458
413 38647.0 21081.9385
414 38299.0 20892.104499999998
415 38413.0 20954.2915
416 33607.0 18332.6185
417 26916.0 14682.678
418 29569.0 16129.8895
419 28549.0 15573.4795
420 34090.0 18596.095
421 31947.0 17427.088499999998
422 16634.0 9073.847
423 25031.0 13654.4105
424 35269.0 19239.2395
425 24715.0 13482.0325
426 20859.0 11378.584499999999
427 25695.0 14016.6225
428 18821.0 10266.8555
429 25715.0 14027.5325
430 16645.0 9079.8475
431 17146.0 9353.143
432 20289.0 11067.6495
433 19909.0 10860.3595
434 18362.0 10016.471
435 19890.0 10849.994999999999
436 23267.0 12692.1485
437 30775.0 16787.7625
438 18900.0 10309.949999999999
439 19919.0 10865.8145
440 15199.0 8291.0545
441 20644.0 11261.302
442 17717.0 9664.6235
443 17891.0 9759.5405
444 12332.0 6727.106
445 8883.0 4845.6765
446 17348.0 9463.333999999999
447 20796.0 11344.217999999999
448 13759.0 7505.5345
449 21777.0 11879.3535
450 15135.0 8256.1425
451 28184.0 15374.372
452 19613.0 10698.8915
453 20174.0 11004.917
454 18564.0 10126.662
455 27959.0 15251.6345
456 16820.0 9175.31
457 17215.0 9390.7825
458 87831.0 47911.8105
459 17706.0 9658.623
460 23550.0 12846.525
461 16158.0 8814.189
462 15116.0 8245.778
463 16096.0 8780.368
464 19104.0 10421.232
465 18841.0 10277.7655
466 17647.0 9626.4385
467 26366.0 14382.653
468 15943.0 8696.9065
469 27500.0 15001.25
470 23522.0 12831.251
471 18421.0 10048.655499999999
472 24980.0 13626.59
473 21696.0 11835.168
474 8661.0 4724.5755
475 19033.0 10382.5015
476 20278.0 11061.649
477 19196.0 10471.418
478 17443.0 9515.1565
479 18849.0 10282.1295
480 18675.0 10187.2125
481 17062.0 9307.321
482 21532.0 11745.706
483 31637.0 17257.9835
484 39720.0 21667.26
485 38792.0 21161.036
486 39351.0 21465.9705
487 36363.0 19836.016499999998
488 38873.0 21205.2215
489 38719.0 21121.2145
490 18238.0 9948.829
491 16749.0 9136.5795
492 20982.0 11445.681
493 16789.0 9158.3995
494 18737.0 10221.0335
495 19837.0 10821.083499999999
496 17697.0 9653.7135
497 20982.0 11445.681
498 21981.0 11990.6355
499 17746.0 9680.443
500 18409.0 10042.1095
