# time  ID  size  fromHost  toHost  TTL  isResponse
273600.0000 M228 100000000 cambridge-Host15 cambridge-Host10 n/a N 
274800.0000 M229 100000000 cambridge-Host33 cambridge-Host28 n/a N 
276000.0000 M230 100000000 cambridge-Host41 cambridge-Host2 n/a N 
277200.0000 M231 100000000 cambridge-Host8 cambridge-Host39 n/a N 
278400.0000 M232 100000000 cambridge-Host36 cambridge-Host44 n/a N 
279600.0000 M233 100000000 cambridge-Host2 cambridge-Host15 n/a N 
280800.0000 M234 100000000 cambridge-Host22 cambridge-Host4 n/a N 
282000.0000 M235 100000000 cambridge-Host4 cambridge-Host50 n/a N 
283200.0000 M236 100000000 cambridge-Host18 cambridge-Host45 n/a N 
284400.0000 M237 100000000 cambridge-Host4 cambridge-Host36 n/a N 
285600.0000 M238 100000000 cambridge-Host48 cambridge-Host29 n/a N 
286800.0000 M239 100000000 cambridge-Host30 cambridge-Host22 n/a N 
288000.0000 M240 100000000 cambridge-Host28 cambridge-Host27 n/a N 
289200.0000 M241 100000000 cambridge-Host38 cambridge-Host40 n/a N 
290400.0000 M242 100000000 cambridge-Host32 cambridge-Host12 n/a N 
291600.0000 M243 100000000 cambridge-Host39 cambridge-Host33 n/a N 
292800.0000 M244 100000000 cambridge-Host33 cambridge-Host51 n/a N 
294000.0000 M245 100000000 cambridge-Host29 cambridge-Host39 n/a N 
295200.0000 M246 100000000 cambridge-Host44 cambridge-Host32 n/a N 
296400.0000 M247 100000000 cambridge-Host43 cambridge-Host7 n/a N 
297600.0000 M248 100000000 cambridge-Host25 cambridge-Host4 n/a N 
298800.0000 M249 100000000 cambridge-Host7 cambridge-Host26 n/a N 
300000.0000 M250 100000000 cambridge-Host21 cambridge-Host8 n/a N 
301200.0000 M251 100000000 cambridge-Host7 cambridge-Host49 n/a N 
302400.0000 M252 100000000 cambridge-Host26 cambridge-Host24 n/a N 
303600.0000 M253 100000000 cambridge-Host14 cambridge-Host7 n/a N 
304800.0000 M254 100000000 cambridge-Host8 cambridge-Host19 n/a N 
306000.0000 M255 100000000 cambridge-Host47 cambridge-Host50 n/a N 
307200.0000 M256 100000000 cambridge-Host1 cambridge-Host4 n/a N 
308400.0000 M257 100000000 cambridge-Host30 cambridge-Host38 n/a N 
309600.0000 M258 100000000 cambridge-Host24 cambridge-Host51 n/a N 
310800.0000 M259 100000000 cambridge-Host16 cambridge-Host10 n/a N 
312000.0000 M260 100000000 cambridge-Host50 cambridge-Host41 n/a N 
313200.0000 M261 100000000 cambridge-Host50 cambridge-Host28 n/a N 
314400.0000 M262 100000000 cambridge-Host10 cambridge-Host43 n/a N 
315600.0000 M263 100000000 cambridge-Host39 cambridge-Host51 n/a N 
316800.0000 M264 100000000 cambridge-Host11 cambridge-Host31 n/a N 
318000.0000 M265 100000000 cambridge-Host35 cambridge-Host19 n/a N 
319200.0000 M266 100000000 cambridge-Host49 cambridge-Host10 n/a N 
320400.0000 M267 100000000 cambridge-Host47 cambridge-Host10 n/a N 
321600.0000 M268 100000000 cambridge-Host20 cambridge-Host14 n/a N 
322800.0000 M269 100000000 cambridge-Host6 cambridge-Host34 n/a N 
324000.0000 M270 100000000 cambridge-Host41 cambridge-Host26 n/a N 
325200.0000 M271 100000000 cambridge-Host15 cambridge-Host48 n/a N 
326400.0000 M272 100000000 cambridge-Host12 cambridge-Host33 n/a N 
327600.0000 M273 100000000 cambridge-Host2 cambridge-Host32 n/a N 
328800.0000 M274 100000000 cambridge-Host48 cambridge-Host44 n/a N 
330000.0000 M275 100000000 cambridge-Host41 cambridge-Host3 n/a N 
331200.0000 M276 100000000 cambridge-Host30 cambridge-Host37 n/a N 
332400.0000 M277 100000000 cambridge-Host15 cambridge-Host26 n/a N 
333600.0000 M278 100000000 cambridge-Host0 cambridge-Host45 n/a N 
334800.0000 M279 100000000 cambridge-Host0 cambridge-Host12 n/a N 
336000.0000 M280 100000000 cambridge-Host25 cambridge-Host12 n/a N 
337200.0000 M281 100000000 cambridge-Host24 cambridge-Host2 n/a N 
338400.0000 M282 100000000 cambridge-Host36 cambridge-Host22 n/a N 
339600.0000 M283 100000000 cambridge-Host36 cambridge-Host12 n/a N 
340800.0000 M284 100000000 cambridge-Host24 cambridge-Host5 n/a N 
342000.0000 M285 100000000 cambridge-Host50 cambridge-Host17 n/a N 
343200.0000 M286 100000000 cambridge-Host16 cambridge-Host46 n/a N 
344400.0000 M287 100000000 cambridge-Host21 cambridge-Host33 n/a N 
345600.0000 M288 100000000 cambridge-Host44 cambridge-Host41 n/a N 
346800.0000 M289 100000000 cambridge-Host16 cambridge-Host50 n/a N 
348000.0000 M290 100000000 cambridge-Host33 cambridge-Host3 n/a N 
349200.0000 M291 100000000 cambridge-Host35 cambridge-Host2 n/a N 
350400.0000 M292 100000000 cambridge-Host47 cambridge-Host9 n/a N 
351600.0000 M293 100000000 cambridge-Host35 cambridge-Host13 n/a N 
352800.0000 M294 100000000 cambridge-Host11 cambridge-Host2 n/a N 
354000.0000 M295 100000000 cambridge-Host37 cambridge-Host14 n/a N 
355200.0000 M296 100000000 cambridge-Host17 cambridge-Host19 n/a N 
356400.0000 M297 100000000 cambridge-Host43 cambridge-Host39 n/a N 
357600.0000 M298 100000000 cambridge-Host28 cambridge-Host3 n/a N 
358800.0000 M299 100000000 cambridge-Host43 cambridge-Host17 n/a N 
360000.0000 M300 100000000 cambridge-Host6 cambridge-Host43 n/a N 
361200.0000 M301 100000000 cambridge-Host1 cambridge-Host22 n/a N 
362400.0000 M302 100000000 cambridge-Host8 cambridge-Host20 n/a N 
363600.0000 M303 100000000 cambridge-Host12 cambridge-Host21 n/a N 
364800.0000 M304 100000000 cambridge-Host31 cambridge-Host48 n/a N 
366000.0000 M305 100000000 cambridge-Host4 cambridge-Host16 n/a N 
367200.0000 M306 100000000 cambridge-Host8 cambridge-Host0 n/a N 
368400.0000 M307 100000000 cambridge-Host19 cambridge-Host49 n/a N 
369600.0000 M308 100000000 cambridge-Host2 cambridge-Host51 n/a N 
370800.0000 M309 100000000 cambridge-Host41 cambridge-Host7 n/a N 
372000.0000 M310 100000000 cambridge-Host22 cambridge-Host45 n/a N 
373200.0000 M311 100000000 cambridge-Host11 cambridge-Host25 n/a N 
374400.0000 M312 100000000 cambridge-Host36 cambridge-Host43 n/a N 
375600.0000 M313 100000000 cambridge-Host37 cambridge-Host13 n/a N 
376800.0000 M314 100000000 cambridge-Host41 cambridge-Host14 n/a N 
378000.0000 M315 100000000 cambridge-Host16 cambridge-Host22 n/a N 
379200.0000 M316 100000000 cambridge-Host32 cambridge-Host11 n/a N 
380400.0000 M317 100000000 cambridge-Host0 cambridge-Host49 n/a N 
381600.0000 M318 100000000 cambridge-Host11 cambridge-Host45 n/a N 
