# time  created  delivered  delivered/created
225000.0000 225 71 0.3156
226000.0000 226 71 0.3142
227000.0000 227 71 0.3128
228000.0000 228 71 0.3114
229000.0000 229 71 0.3100
230000.0000 230 71 0.3087
231000.0000 231 71 0.3074
232000.0000 232 71 0.3060
233000.0000 233 71 0.3047
234000.0000 234 71 0.3034
235000.0000 235 71 0.3021
236000.0000 236 71 0.3008
237000.0000 237 71 0.2996
238000.0000 238 71 0.2983
239000.0000 239 71 0.2971
240000.0000 240 71 0.2958
241000.0000 241 71 0.2946
242000.0000 242 71 0.2934
243000.0000 243 71 0.2922
244000.0000 244 71 0.2910
245000.0000 245 71 0.2898
246000.0000 246 71 0.2886
247000.0000 247 71 0.2874
248000.0000 248 71 0.2863
248467.0000 248 72 0.2903
248471.0000 248 73 0.2944
248475.0000 248 74 0.2984
248479.0000 248 75 0.3024
248483.0000 248 76 0.3065
248487.0000 248 77 0.3105
248491.0000 248 78 0.3145
248495.0000 248 79 0.3185
248499.0000 248 80 0.3226
249000.0000 249 80 0.3213
249053.0000 249 81 0.3253
250000.0000 250 81 0.3240
251000.0000 251 81 0.3227
252000.0000 252 81 0.3214
252759.0000 252 82 0.3254
252763.0000 252 83 0.3294
252767.0000 252 84 0.3333
252771.0000 252 85 0.3373
252775.0000 252 86 0.3413
253000.0000 253 86 0.3399
254000.0000 254 86 0.3386
255000.0000 255 86 0.3373
256000.0000 256 86 0.3359
257000.0000 257 86 0.3346
258000.0000 258 86 0.3333
259000.0000 259 86 0.3320
260000.0000 260 86 0.3308
260590.0000 260 87 0.3346
261000.0000 261 87 0.3333
261547.0000 261 88 0.3372
262000.0000 262 88 0.3359
262027.0000 262 89 0.3397
262519.0000 262 90 0.3435
262523.0000 262 91 0.3473
262527.0000 262 92 0.3511
262531.0000 262 93 0.3550
262535.0000 262 94 0.3588
262539.0000 262 95 0.3626
262543.0000 262 96 0.3664
262551.0000 262 97 0.3702
262579.0000 262 98 0.3740
263000.0000 263 98 0.3726
264000.0000 264 98 0.3712
265000.0000 265 98 0.3698
266000.0000 266 98 0.3684
267000.0000 267 98 0.3670
268000.0000 268 98 0.3657
268452.0000 268 99 0.3694
269000.0000 269 99 0.3680
269263.0000 269 100 0.3717
269267.0000 269 101 0.3755
269271.0000 269 102 0.3792
269275.0000 269 103 0.3829
270000.0000 270 103 0.3815
271000.0000 271 103 0.3801
272000.0000 272 103 0.3787
272483.0000 272 104 0.3824
273000.0000 273 104 0.3810
274000.0000 274 104 0.3796
275000.0000 275 104 0.3782
276000.0000 276 104 0.3768
277000.0000 277 104 0.3755
278000.0000 278 104 0.3741
279000.0000 279 104 0.3728
280000.0000 280 104 0.3714
281000.0000 281 104 0.3701
282000.0000 282 104 0.3688
283000.0000 283 104 0.3675
284000.0000 284 104 0.3662
285000.0000 285 104 0.3649
286000.0000 286 104 0.3636
287000.0000 287 104 0.3624
288000.0000 288 104 0.3611
289000.0000 289 104 0.3599
290000.0000 290 104 0.3586
291000.0000 291 104 0.3574
292000.0000 292 104 0.3562
293000.0000 293 104 0.3549
294000.0000 294 104 0.3537
295000.0000 295 104 0.3525
296000.0000 296 104 0.3514
297000.0000 297 104 0.3502
